MAGMA 1.4.0 , capability 3.0
device 0: GeForce GTX TITAN, 875.5 MHz clock, 6143.3 MB memory, capability 3.5
device 1: GeForce GTX TITAN, 875.5 MHz clock, 6143.8 MB memory, capability 3.5
1024	1.091126e+00	2.164949e+01
2048	7.186868e+00	2.629713e+01
3072	2.165353e+01	2.945637e+01
4096	5.101845e+01	2.963347e+01
5120	9.356397e+01	3.155911e+01
